category,accuracy,grp_size,gt_id,run_id
gas,0.6666666666666666,18,47731332-c84e-4a9-GT_TOPIC_gas,47731332-c84e-4a9
platinum,1.0,3,47731332-c84e-4a9-GT_TOPIC_platinum,47731332-c84e-4a9
l-cattle,1.0,1,47731332-c84e-4a9-GT_TOPIC_l-cattle,47731332-c84e-4a9
trade,0.8742331288343558,326,47731332-c84e-4a9-GT_TOPIC_trade,47731332-c84e-4a9
potato,0.6,5,47731332-c84e-4a9-GT_TOPIC_potato,47731332-c84e-4a9
grain,0.8627450980392157,51,47731332-c84e-4a9-GT_TOPIC_grain,47731332-c84e-4a9
jobs,0.5102040816326531,49,47731332-c84e-4a9-GT_TOPIC_jobs,47731332-c84e-4a9
gnp,0.7837837837837838,74,47731332-c84e-4a9-GT_TOPIC_gnp,47731332-c84e-4a9
cpu,0.75,4,47731332-c84e-4a9-GT_TOPIC_cpu,47731332-c84e-4a9
coffee,0.8928571428571429,112,47731332-c84e-4a9-GT_TOPIC_coffee,47731332-c84e-4a9
lei,0.7857142857142857,14,47731332-c84e-4a9-GT_TOPIC_lei,47731332-c84e-4a9
rubber,0.95,40,47731332-c84e-4a9-GT_TOPIC_rubber,47731332-c84e-4a9
housing,0.7058823529411765,17,47731332-c84e-4a9-GT_TOPIC_housing,47731332-c84e-4a9
cpi,0.7605633802816901,71,47731332-c84e-4a9-GT_TOPIC_cpi,47731332-c84e-4a9
cocoa,0.7704918032786885,61,47731332-c84e-4a9-GT_TOPIC_cocoa,47731332-c84e-4a9
bop,0.7096774193548387,31,47731332-c84e-4a9-GT_TOPIC_bop,47731332-c84e-4a9
strategic-metal,0.8,15,47731332-c84e-4a9-GT_TOPIC_strategic-metal,47731332-c84e-4a9
income,0.8181818181818182,11,47731332-c84e-4a9-GT_TOPIC_income,47731332-c84e-4a9
nat-gas,0.9722222222222222,36,47731332-c84e-4a9-GT_TOPIC_nat-gas,47731332-c84e-4a9
dmk,1.0,1,47731332-c84e-4a9-GT_TOPIC_dmk,47731332-c84e-4a9
veg-oil,0.8666666666666667,30,47731332-c84e-4a9-GT_TOPIC_veg-oil,47731332-c84e-4a9
